# Ebeam (MeV)  	 Cross Section (x10^24)  	 Cross Section Error (x10^24)
2.360134 	3.926882e-05	 2.189098e-06
2.380236 	3.437592e-05	 1.504162e-06
2.400091 	4.387296e-05	 2.035740e-06
2.420179 	6.924210e-05	 3.157768e-07
2.440481 	5.616448e-05	 1.435287e-06
2.460095 	3.503793e-05	 1.530658e-06
2.479973 	4.398438e-05	 6.147360e-06
2.500227 	6.060011e-05	 1.180811e-05
2.520420 	1.911454e-04	 3.736426e-06
2.540319 	1.944038e-04	 4.535752e-06
2.540418 	1.517762e-04	 1.539697e-05
2.560373 	1.169573e-04	 4.461806e-06
2.580316 	1.133445e-04	 8.637432e-06
2.600080 	1.574461e-04	 1.485959e-05
2.620301 	2.583987e-04	 4.948085e-06
2.640250 	2.431012e-04	 1.067937e-05
2.640329 	2.087538e-04	 1.375257e-05
2.660048 	1.784102e-04	 9.362970e-06
2.680341 	2.187722e-04	 9.945441e-06
2.700118 	1.881572e-04	 4.261258e-06
2.720277 	1.818942e-04	 7.234324e-06
2.740395 	2.279039e-04	 2.921644e-05
2.760323 	3.622360e-04	 4.472764e-05
2.780589 	6.630210e-04	 6.217349e-05
2.800254 	5.136302e-04	 1.936422e-05
2.820410 	6.034145e-04	 1.919991e-05
2.838612 	6.417032e-04	 4.414932e-05
2.860337 	5.781602e-04	 4.245175e-05
2.880306 	8.701582e-04	 3.714214e-05
2.900097 	9.762641e-04	 7.614900e-05
2.900416 	1.415703e-03	 5.429411e-05
2.920156 	1.648924e-03	 9.318637e-05
2.920168 	1.427626e-03	 6.234324e-05
2.938225 	1.702003e-03	 3.510285e-05
2.942679 	1.613021e-03	 9.758372e-05
2.960375 	1.272091e-03	 4.200327e-05
2.960399 	1.017953e-03	 9.756361e-05
2.980102 	6.986120e-04	 4.279266e-05
2.980402 	7.503986e-04	 9.138004e-05
2.997658 	9.006683e-04	 1.042038e-04
3.000220 	1.452894e-03	 1.116195e-04
3.020453 	2.091946e-03	 1.259198e-04
3.040306 	1.389155e-03	 5.340464e-05
3.060322 	2.011778e-03	 8.913553e-05
3.080159 	1.660251e-03	 1.750646e-04
3.100403 	1.294811e-03	 7.511107e-06
3.120418 	1.483984e-03	 1.292218e-04
3.140265 	1.170898e-03	 5.884479e-05
3.160112 	1.101316e-03	 1.311471e-04
3.180232 	1.307250e-03	 1.947511e-04
3.200367 	2.291497e-03	 1.020683e-04
3.218210 	3.221924e-03	 1.283558e-04
3.239864 	2.595225e-03	 3.321483e-04
3.260086 	1.846002e-03	 2.797771e-05
3.280144 	1.966461e-03	 1.309498e-04
3.299381 	1.484810e-03	 7.255807e-05
3.320382 	1.712901e-03	 1.852003e-04
3.340181 	1.882376e-03	 2.419949e-04
3.360738 	2.610871e-03	 3.418361e-04
3.380337 	4.841509e-03	 5.405411e-04
3.420156 	3.864342e-03	 1.092975e-04
3.439785 	4.509374e-03	 5.988575e-04
3.460269 	2.673945e-03	 1.766949e-04
3.480186 	3.038898e-03	 1.812908e-04
3.500284 	3.629686e-03	 2.278934e-04
3.519486 	5.252359e-03	 5.506337e-05
3.540233 	4.472760e-03	 2.357855e-04
3.560213 	5.871026e-03	 4.034158e-04
3.580301 	7.187180e-03	 2.780552e-04
3.600236 	5.512173e-03	 3.664184e-04
3.620345 	9.489285e-03	 3.421883e-04
3.640243 	7.822146e-03	 1.816156e-04
