# Ebeam (keV) 	   Cross Section (x10^24)   
1430.417000 	 1.426702e-07 
1456.379000 	 1.292823e-07 
1480.432000 	 9.446247e-08 
1505.538000 	 4.165756e-07 
1530.591000 	 6.394458e-07 
1555.688000 	 6.025346e-07 
1580.895000 	 2.856921e-06 
1605.981000 	 2.315901e-06 
1631.063000 	 2.356373e-06 
1655.974000 	 2.226564e-06 
1681.454000 	 2.040020e-06 
1706.191000 	 1.880871e-06 
1731.568000 	 1.396117e-06 
1743.946000 	 5.281547e-07 
1756.757000 	 2.019654e-06 
1764.013000 	 7.129043e-07 
1781.039000 	 1.947421e-06 
1781.844000 	 1.729606e-06 
1787.744000 	 1.944423e-06 
1794.020000 	 3.124936e-06 
1806.077000 	 2.854359e-06 
1807.142000 	 2.469807e-06 
1818.854000 	 3.155083e-06 
1830.954000 	 1.949463e-06 
1843.979000 	 2.154059e-06 
1851.847000 	 2.662671e-06 
1856.027000 	 3.427825e-06 
1864.456000 	 3.415229e-06 
1872.022000 	 2.708720e-06 
1881.189000 	 2.157819e-06 
1894.185000 	 1.814402e-06 
1906.353000 	 3.517444e-06 
1912.016000 	 4.314709e-06 
1918.259000 	 5.888403e-06 
1943.382000 	 5.604142e-06 
1956.537000 	 7.868122e-06 
1957.027000 	 7.868790e-06 
1957.291000 	 7.438370e-06 
1968.507000 	 8.364560e-06 
1993.624000 	 3.932990e-06 
2006.588000 	 2.182504e-06 
2014.462000 	 3.134181e-06 
2019.623000 	 8.826508e-06 
2044.687000 	 7.589906e-06 
2056.799000 	 5.631509e-06 
2062.546000 	 5.726177e-06 
2081.906000 	 7.391906e-06 
2088.568000 	 1.395230e-05 
2095.919000 	 1.729538e-05 
2107.020000 	 1.687655e-05 
2120.035000 	 1.721631e-05 
2138.122000 	 1.415417e-05 
2145.066000 	 1.281536e-05 
2156.973000 	 1.052540e-05 
2170.067000 	 9.178184e-06 
2170.170000 	 1.123662e-05 
2181.938000 	 1.372211e-05 
2195.084000 	 1.416254e-05 
2207.230000 	 2.549037e-05 
2219.722000 	 4.443900e-05 
2232.039000 	 7.131984e-05 
2244.808000 	 6.599248e-05 
2257.498000 	 6.790225e-05 
2270.275000 	 3.829523e-05 
2275.622000 	 3.334590e-05 
2289.571000 	 1.824699e-05 
2296.191000 	 1.895823e-05 
2301.684000 	 2.062454e-05 
2307.810000 	 3.040817e-05 
2314.722000 	 3.683669e-05 
2322.496000 	 5.794307e-05 
2327.828000 	 5.580406e-05 
2340.521000 	 5.508134e-05 
2347.887000 	 5.325332e-05 
2357.690000 	 5.541504e-05 
2358.378000 	 4.818699e-05 
2372.746000 	 4.868221e-05 
2376.000000 	 4.750120e-05 
2383.939000 	 5.303909e-05 
2397.799000 	 7.856070e-05 
2407.118000 	 7.505535e-05 
2422.763000 	 6.454084e-05 
2447.965000 	 5.419037e-05 
2457.928000 	 5.558562e-05 
2459.100000 	 5.013320e-05 
2474.295000 	 5.376163e-05 
2482.207000 	 5.557780e-05 
2484.321000 	 6.380252e-05 
2484.432000 	 6.283396e-05 
2494.357000 	 1.672286e-04 
2497.151000 	 1.844046e-04 
2504.379000 	 2.394211e-04 
2509.459000 	 2.795637e-04 
2514.300000 	 2.677581e-04 
2521.575000 	 2.670051e-04 
2524.339000 	 1.837828e-04 
2532.641000 	 1.399703e-04 
2534.265000 	 1.597221e-04 
2547.009000 	 1.236170e-04 
2559.516000 	 1.523337e-04 
2572.199000 	 1.568619e-04 
2584.575000 	 1.650043e-04 
2597.038000 	 3.654000e-04 
2609.688000 	 4.052603e-04 
2622.379000 	 4.123265e-04 
2634.953000 	 3.890689e-04 
2647.466000 	 3.246857e-04 
2659.963000 	 2.892406e-04 
2672.672000 	 3.366052e-04 
